# started on Thu Apr  7 02:44:23 2022

13.40,msec,task-clock,13396512,100.00,0.936,CPUs utilized
1,,context-switches,13396512,100.00,74.646,/sec
1,,cpu-migrations,13396512,100.00,74.646,/sec
236,,page-faults,13396512,100.00,17.617,K/sec
39869829,,cycles,9405908,70.17,2.976,GHz
347539,,stalled-cycles-frontend,9403688,70.16,0.87,frontend cycles idle
20195243,,stalled-cycles-backend,9421107,70.29,50.65,backend cycles idle
94628140,,instructions,12676233,94.57,2.37,insn per cycle
,,,,,0.21,stalled cycles per insn
4426891,,branches,13403862,100.00,330.451,M/sec
5487,,branch-misses,12708512,94.81,0.12,of all branches
